Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
44,2nd Year,1,Old,Romblon,Male,12/6/1999,Single,6,3rd,Tablas Island,No,No,No,Yes,3,Sad / Disappointed;Worried / Nervous,I feel uncomfortable with this blended learning because sometimes it's a problem for me to get a good connection of internet and it's hard to manage the time because there's a unexpected problem happened. ,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",2,2,Yes,3,A SOFTCOPY of your module,3,Yes,5,No,4,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
45,2nd Year,4,Old,Romblon,Male,12/19/1999,Single,6,5th,Tablas Island,No,No,Yes,Yes,4,Sad / Disappointed,Because I really miss the face to face interacrion I feel more lively ang have more energy thats why I feel sad,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,3,A HARCOPY of your module,5,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
46,2nd Year,1,New,Romblon,Female,8/7/1999,Single,2,1st,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed,There’s no assurance that I’ll be able to learn somethings through online.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Student and teacher interactions would be very limited",3,3,Yes,4,A HARCOPY of your module,4,Yes,4,Yes,2,No,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
47,1st year,7,New,Romblon,Female,8/24/2001,Single,5,3rd,Tablas Island,No,No,No,Yes,3,Sad / Disappointed;Worried / Nervous,Because i think that i cant afford to buy load and i dont have a new and good quality mobile phone that i can use.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,5,A HARCOPY of your module,5,No,5,Yes,2,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
48,1st year,1,New,Romblon,Female,6/24/2001,Single,4,2nd,Tablas Island,No,Yes,,Yes,3,Worried / Nervous,"'Cause first of all, it's my first year entering college and it's hard too to cope up in class , I need more adjustment and it's too hard without a teacher who discuss.",A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,3,A SOFTCOPY of your module,4,Yes,4,Yes,3,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
49,1st year,1,New,Romblon,Male,1/2/2002,Single,2,1st,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed,Because we cannot benefit from the teaching skills and knowledge of our original teachers in their respective subject handled.,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A SOFTCOPY of your module,4,Yes,4,Yes,2,No,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
50,1st year,1,New,Romblon,Male,8/14/2002,Single,4,3rd,Tablas Island,No,Yes,,Yes,4,Worried / Nervous,Nasanay kasi kami na face to face,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,No,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
51,1st year,1,New,Romblon,Female,10/28/2001,Single,2,1st,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed,"I'm not good at self learning. I need someone who will elaborate the lessons further, for me to understand the lesson very well.","Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,5,Yes,4,Yes,1,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
52,1st year,7,New,Romblon,Male,7/10/2002,Single,4,2nd,Tablas Island,No,No,No,Yes,3,Worried / Nervous,i can't explain.. i don't know why....,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,5,No,4,No,2,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
53,1st year,7,New,Romblon,Male,11/11/2000,Single,4,2nd,Tablas Island,Yes,No,No,Yes,3,Did not feel anything,I can't explain ,Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited,3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
55,1st year,2,New,Romblon,Male,1/1/2002,Single,2,2nd,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed;Worried / Nervous,I'm so worried because I can't learn easily,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited",3,4,Yes,4,A SOFTCOPY of your module,2,Yes,4,Yes,3,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
56,3rd year,1,New,Romblon,Female,1/8/2000,Single,3,2nd,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed;Worried / Nervous;Did not feel anything,The first thing that sink in my mind is how can I keep up if we dont have face to face the internet connections is not good .,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,5,A HARCOPY of your module,5,Yes,5,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
57,1st year,7,New,Romblon,Male,12/1/2001,Single,3,3rd,Tablas Island,No,No,Yes,Yes,4,Happy / Excited,Masaya ,Module is the primary tool in learning,3,4,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,2,No,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
58,1st year,7,New,Romblon,Male,7/2/2021,Single,4,3rd,Tablas Island,No,No,Yes,Yes,3,Happy / Sad,Because first time of my life that no have face to face classes.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,3,Yes,5,Yes,2,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
59,1st year,1,New,Romblon,Female,10/14/2001,Single,2,1st,Tablas Island,Yes,No,Yes,Yes,3,Sad / Disappointed,"Because nowadays we are struggling that we are self learning and study might be hard clbecause we are not a fast learner we also try our best to understand it some of the statement is hard to analyze and understand it,and sometimes in quiz we don't know if we really had it in the module sometimes none.","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,4,Yes,4,No,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
60,1st year,2,New,Romblon,Female,9/22/1998,Single,8,4th,"Tres Islas (Banton, Sibale, Simara)",No,No,Yes,Yes,3,Happy / Excited;Worried / Nervous,Because I worried if I have learned anything in the lesson ,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Student and teacher interactions would be very limited",3,4,Yes,4,A HARCOPY of your module,5,Yes,5,Yes,3,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
61,1st year,2,New,Romblon,Male,3/28/1999,Single,5,3rf,Tablas Island,No,No,No,Yes,2,Did not feel anything,"Honestly, I did not feel anything because as a human being, we are capable of adapting or simple we can easily accept what is happening around. ","Exercises, quizzes, and major examinations will be done online or face-to-face;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited",4,4,No,4,A SOFTCOPY of your module,5,Yes,4,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
62,1st year,7,New,Romblon,Female,11/28/2001,Single,3,3rd,Tablas Island,No,No,No,Yes,3,Sad / Disappointed;Worried / Nervous,"As a student I'm worried, sad, disappointed and nervous because our system today is online learning, and I can't focus because of the internet connection",A hardcopy of the module would be distributed to all students;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,2,Yes,4,A HARCOPY of your module,2,Yes,3,No,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
63,2nd Year,1,Old,Romblon,Male,12/11/2021,Single,2,7th,Tablas Island,No,No,,Yes,4,Sad / Disappointed,N/C,Entirely no Face-to-Face,4,5,Yes,4,A HARCOPY of your module,3,Yes,5,Yes,5,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty & Student Online Discussion of Lesson
64,2nd Year,1,New,Romblon,Female,1/25/2002,Single,4,1st,Tablas Island,No,No,No,Yes,2,Worried / Nervous,Because the signal in my place was weak,Module is the primary tool in learning;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective,3,3,Yes,4,A HARCOPY of your module,3,No,4,No,5,Yes,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
65,2nd Year,1,Old,Romblon,Female,12/6/1999,Single,14,12th,Tablas Island,No,No,No,Yes,2,Sad / Disappointed,Because its better to have an explanation with the educated than me and I can learned when it is in person explanation you can lessen in a good way ..,Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,3,Yes,3,A HARCOPY of your module,1,Yes,3,Yes,2,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
